verdict	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	id
1	Y	2	左記	さき	undermentioned (statement), the following, at left	좌기(1)	左記	세로쓰기를 한 글에서, 본문의 왼쪽에 기록된 것.	1290860
1	n	1	短編	たんぺん	short story, short film, short poem	단편(1)	短篇	짤막하게 지은 글.	1597300
3	n	3	上値	うわね	higher price, price rise	상치(1)		→ 상추.	1353880
3	n	1	山々	やまやま	(many) mountains, very much (wanting to do something one cannot), greatly, really	산산(0)		‘산산하다’의 어근.	1605580
3	n	2	岸辺	きしべ	shore, bank (of a body of water)	안변(1)	安邊	변방(邊方)을 편안하게 함.	1217060
3	n	1	桑原	くわばら	mulberry field	상원(1)	上元	음양설에서, 시대 변화의 큰 단위로 잡는 세 묶음의 육십갑자 가운데 첫째 육십갑자의 60년. 한 시대가 시작하는 단계로 본다.	1762710
1	Y	2	刻々	こっこく	moment by moment, hour by hour	각각(2)	刻刻	매 시각. 또는 낱낱의 시각.	1285830
1	Y	1	再検討	さいけんとう	re-examination, review, reconsideration, reappraisal	재-검토(0)	再檢討	한 번 검토한 것을 다시 검토함.	1292630
1	Y	1	組立	くみたて	construction, framework, erection, assembly	조립(2)	組立	여러 부품을 하나의 구조물로 짜 맞춤. 또는 그런 것.	1592310
3	n	0	三百	さんびゃく	300, three hundred, 300 mon, trifling amount	삼백(0)	三白	음력 정월에 사흘 동안 내린 눈을 이르는 말.	1301490
1	Y	0	競馬	けいば	horse racing	경마(6)	競馬	일정한 거리를 말을 타고 달려 빠르기를 겨루는 경기.	1234210
3	n	2	岩石	がんせき	rock	암석(1)	暗惜	남몰래 애석해함.	1217360
1	Y	1	祝賀	しゅくが	celebration, congratulations	축하(0)	祝賀	남의 좋은 일을 기뻐하고 즐거워한다는 뜻으로 인사함. 또는 그런 인사.	1337410
3	n	0	世界一	せかいいち	best in the world	세계-일(0)	世界日	전 세계적으로 태양과 지구 활동의 관측을 특히 강화하기로 한 날. 유성(流星)이 많이 나타나거나, 음력 상순처럼 특별히 태양이나 지구의 활동이 활발하여지는 날을 주로 택한다.	1373880
3	n	3	理非	りひ	right and wrong	리비(0)	Libby, Willard Frank	미국의 화학자(1908~1980). 방사성 탄소 <sup style='font-size:11px;'>14</sup>C를 이용한 연대 측정법을 발견하여 1960년에 노벨 화학상을 받았다.	1550100
1	Y	0	慣行	かんこう	customary practice, habit, traditional event	관행(2)	慣行	오래전부터 해 오는 대로 함. 또는 관례에 따라서 함.	1212680
3	n	2	里親	さとおや	foster parent, foster parents, (pet) caretaker	리친(0)	Ricin	피마자에 들어 있는 독성이 있는 단백질. 세포의 리보솜과 결합하여 단백질 합성을 저해하여 세포를 죽인다.	1795720
1	Y	1	趣向	しゅこう	plan, idea, design, plot	취향(1)	趣向	하고 싶은 마음이 생기는 방향. 또는 그런 경향.	1328970
1	Y	1	園長	えんちょう	head of a garden, kindergarten principal, nursery school principal, park director	원장(8)	園長	‘원(園)’ 자가 붙은 시설이나 기관의 우두머리.	1176280
1	Y	1	自己資本	じこしほん	net worth, owned capital	자기^자본(0)	自己資本	기업의 소유자가 출자한 자본과 기업 내부에 축적된 적립금, 준비금 따위의 유보 자본을 합한 자본.	1658550
1	Y	1	主戦	しゅせん	advocacy of war	주전(4)	主戰	전쟁하기를 주장함.	1325790
3	n	0	傷者	しょうしゃ	wounded person, casualty, injured person	상자(1)	上자	→ 상좌.	1345870
3	n	1	疎開	そかい	evacuation (to the country), spreading out (troops), deployment, dispersal	소개(1)	紹介	둘 사이에서 양편의 일이 진행되게 주선함.	1396690
3	n	0	大野	おおの	large field	대야(1)		물을 담아서 무엇을 씻을 때 쓰는 둥글넓적한 그릇.	1786530
3	n	1	家元	いえもと	head of a school (of music, dance), head family of a school	가원(0)	街園	길가에 만들어 놓은 작은 공원이나 꽃밭 또는 잔디밭 따위를 통틀어 이르는 말.	1191940
3	n	3	西遊	せいゆう	westward trip, trip to the West	서유(1)	書帷	서재에 친 휘장이라는 뜻으로, ‘서재’를 달리 이르는 말.	1663580
3	n	2	一校	いっこう	one school, the whole school, one proofreading, first proof	일교(0)	日僑	외국에서 사는 일본 사람. 특히 외국에서 상업 활동에 종사하는 일본 사람을 이른다.	1613310
3	n	1	本省	ほんしょう	ministry proper, home office, head office, this ministry	본성(1)	本姓	성(姓)을 고치기 이전에 본디 가졌던 성.	1522670
3	n	0	構内	こうない	premises, grounds, campus, compound	구내(1)	久耐	오래 견딤.	1279820
3	n	3	一昨	いっさく	one previous	일작(1)	一作	제일 잘 만듦. 또는 그런 성과물.	1162640
3	n	1	小遣	こづかい	pocket money, spending money, pin money, allowance	소견(1)	小犬	오리온자리와 쌍둥이자리 사이에 있는 별자리. 3월 초순에 자오선을 통과한다. 알파성(α星)인 프로키온은 밝기가 1등급인 실시 쌍성이다.	1348030
1	Y	3	不平	ふへい	discontent, dissatisfaction, complaint, grievance	불평(1)	不平	마음에 들지 아니하여 못마땅하게 여김. 또는 못마땅한 것을 말이나 행동으로 드러냄.	1494790
