verdict	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	id
1	Y	0	家具	かぐ	furniture	가구(4)	家具	집안 살림에 쓰는 기구. 주로 장롱·책장·탁자 따위와 같이 비교적 큰 제품을 이른다.	1191870
1	Y	0	過去	かこ	the past, bygone days, one's past (that one would prefer remained secret), past (tense)	과거(2)	過去	이미 지나간 때.	1196030
3	n	0	負債	ふさい	debt, liabilities	부채(1)		손으로 흔들어 바람을 일으키는 물건. 대오리로 살을 하고 종이나 헝겊 따위를 발라서 자루를 붙여 만든다. 태극선, 미선, 합죽선, 부들부채, 까치선 따위가 있다.	1498080
1	Y	1	直径	ちょっけい	diameter	직경(1)	直徑	원이나 구 따위에서, 중심을 지나는 직선으로 그 둘레 위의 두 점을 이은 선분. 또는 그 선분의 길이.	1597720
1	Y	2	英訳	えいやく	English translation	영역(1)	英譯	영어로 번역함.	1174670
1	Y	2	洋酒	ようしゅ	Western wine and spirits, Western liquor	양주(4)	洋酒	서양에서 들여온 술.	1545980
1	n	3	僧院	そういん	monastery, temple	승원(0)	僧院/僧園	승려가 불상을 모시고 불도(佛道)를 닦으며 교법을 펴는 집.	1398080
1	Y	1	下半期	しもはんき	second half of the year, second half of the fiscal year	하-반기(0)	下半期	한 해나 어떤 일정한 기간을 둘로 나누었을 때 나중 되는 기간.	1576980
1	Y	0	脚本	きゃくほん	script, screenplay, scenario	각본(2)	脚本	연극이나 영화를 만들기 위하여 쓴 글. 배우의 동작이나 대사, 무대 장치 따위가 구체적으로 적혀 있다.	1226880
3	n	0	過疎	かそ	underpopulation, low population density, depopulation	과소(1)	果蔬	과일과 채소를 아울러 이르는 말.	1196220
3	n	3	笛吹	ふえふき	flute player, flutist, flautist, piper	적취(1)	摘取	집어내어 가짐.	1437320
1	Y	2	電信	でんしん	(electric) telegraph, telegraphy, telegraphic communication, telegram	전신(8)	電信	문자나 숫자를 전기 신호로 바꾸어 전파나 전류로 보내는 통신.	1443560
1	Y	1	地方公共団体	ちほうこうきょうだんたい	local public body, local government	지방^공공^단체(0)	地方公共團體	특별시·통합특별시·광역시·특별자치시·도·특별자치도·시·군·구와 같이, 국가 영토의 일부를 구역으로 하여 그 구역 내에서 법이 인정하는 한도의 지배권을 소유하는 단체. 주민의 복리에 관한 사무를 처리하고 재산을 관리하며 법령의 범위 안에서 자치에 관한 규정을 제정할 수 있다.	1942350
3	n	3	砂煙	すなけむり	cloud of sand (dust, etc.)	사연(1)	四筵	사방의 자리라는 뜻으로, 주위의 사람들을 이르는 말.	1754550
1	Y	3	刀剣	とうけん	sword, dagger, knife, bayonet	도검(1)	刀劍	칼과 검(劍)을 아울러 이르는 말.	1446490
1	Y	3	大漁	たいりょう	big catch (fishing), good haul	대어(2)	大漁	물고기가 많이 잡힘.	1413450
3	n	2	語源	ごげん	origin of a word, derivation of a word, etymology	어원(1)	御苑	예전에, 궁궐 안에 있던 동산이나 후원.	1271090
3	n	1	万歳	ばんざい	banzai, hurray, hurrah, hooray	만세(1)	晩歲	나이가 들어 늙어 가는 시기.	1601350
1	Y	3	比類	ひるい	parallel, equal, match	비류(1)	比類	비슷한 종류.	1626940
3	n	0	受皿	うけざら	saucer, person (group, institution, etc.) to take over a position or matter, receptacle (e.g. of funds), receiver	수명(1)		→ 수멍.	1329620
3	n	2	羽目	はめ	panel, wainscoting, wainscotting, plight	우목(1)	牛目	소의 눈.	1171820
2	n	1	封筒	ふうとう	envelope	봉통(0)	封筒/封筩	편지나 서류 따위를 넣기 위하여 종이로 만든 주머니.	1499690
3	n	2	鉢植	はちうえ	potted plant, potting	발식(0)	髮飾	예전에, 여자들이 머리를 장식할 때 사용하던 나무 장식품. 주로 횡장 각배(橫長角背)의 빗이 많다.	1477110
1	Y	3	不謹慎	ふきんしん	imprudent, indiscreet, immodest, indecent	불-근신(0)	不謹愼	삼가고 조심하지 아니함.	1492010
1	Y	3	原著	げんちょ	the original work	원저(1)	原著	번역하거나 번안한 것의 근본이 되는 저작.	1262130
1	Y	2	王立	おうりつ	royal (institution)	왕립(0)	王立	국왕이나 왕족이 세움. 또는 그런 것.	1181710
1	Y	2	即興	そっきょう	improvisation, improvised, impromptu, extempore	즉흥(0)	卽興	그 자리에서 바로 일어나는 감흥. 또는 그런 기분.	1404130
1	Y	3	不確定	ふかくてい	uncertain, indefinite	불-확정(0)	不確定	일이나 계획 따위가 확실히 결정되어 있지 않음.	1740390
3	n	0	弁当	べんとう	bento, Japanese box lunch	반당(1)	反黨	반역을 꾀하는 무리.	1513060
