char	now	old	corpusFreq	stdict_attested	samples
健	건	견	19	건:20	穏健 おんけん / 健脚 けんきゃく / 健康 けんこう / 健康保険 けんこうほけん
則	칙	즉·측	18	칙:22	会則 かいそく / 学則 がくそく / 規則 きそく / 規則的 きそくてき
皇	황	왕	18	황:27	皇位 こうい / 皇居 こうきょ / 皇后 こうごう / 皇子 おうじ
塁	루	뢰	17	루:18	一塁 いちるい / 一塁手 いちるいしゅ / 三塁 さんるい / 三塁手 さんるいしゅ
責	책	채	17	책:19	引責 いんせき / 自責 じせき / 自賠責保険 じばいせきほけん / 重責 じゅうせき
景	경	영	17	경:38	遠景 えんけい / 景観 けいかん / 景気 けいき / 景況 けいきょう
準	준	절	17	준:17	下準備 したじゅんび / 高水準 こうすいじゅん / 準拠 じゅんきょ / 準決勝 じゅんけっしょう
編	편	변	17	편:22	改編 かいへん / 後編 こうへん / 再編 さいへん / 全編 ぜんぺん
虫	충	훼	17	충:23	害虫 がいちゅう / 寄生虫 きせいちゅう / 玉虫色 たまむしいろ / 昆虫 こんちゅう
著	저	착	17	저:20	共著 きょうちょ / 顕著 けんちょ / 原著 げんちょ / 前著 ぜんちょ
洗	세	선	17	세:40	手洗 てあらい / 水洗 すいせん / 洗顔 せんがん / 洗剤 せんざい
折	절	제	16	절:27	右折 うせつ / 曲折 きょくせつ / 屈折 くっせつ / 骨折 こっせつ
疑	의	웅	16	의:36	懐疑 かいぎ / 疑義 ぎぎ / 疑獄 ぎごく / 疑心 ぎしん
属	속	촉	16	속:35	帰属 きぞく / 貴金属 ききんぞく / 金属 きんぞく / 軍属 ぐんぞく
借	차	적	16	차:29	借換 かりかえ / 借手 かりて / 借入 かりいれ / 借款 しゃっかん
仮	가	반	15	가:63	仮差押 かりさしおさえ / 仮死 かし / 仮処分 かりしょぶん / 仮称 かしょう
提	제	시	15	제:29	手提 てさげ / 前提 ぜんてい / 提案 ていあん / 提起 ていき
貸	대	특	15	대:35	貸付 かしつけ / 貸家 かしや / 貸借 たいしゃく / 貸倒 かしだおれ
副	부	복	15	부:55	副業 ふくぎょう / 副作用 ふくさよう / 副産物 ふくさんぶつ / 副次的 ふくじてき
越	월	활	14	월:20	越境 えっきょう / 越権 えっけん / 越冬 えっとう / 越年 えつねん
港	항	강	14	항:38	海港 かいこう / 開港 かいこう / 寄港 きこう / 漁港 ぎょこう
